Timestamp,q1,q2,q3,q4,q5,q6
-1,0,0,0,0,0,0
7,0.001,0.001,0.001,0,0,0
21,0.002,0.002,0.002,0,0,0
30,0.003,0.003,0.003,0,0,0
40,0.004,0.004,0.004,0,0,0
48,0.005,0.005,0.005,0,0,0
59,0.006,0.006,0.006,0,0,0
68,0.007,0.007,0.007,0,0,0
77,0.008,0.008,0.008,0,0,0
92,0.009,0.009,0.009,0,0,0
100,0.01,0.01,0.01,0,0,0
109,0.011,0.011,0.011,0,0,0
121,0.012,0.012,0.012,0,0,0
131,0.013,0.013,0.013,0,0,0
137,0.014,0.014,0.014,0,0,0
147,0.015,0.015,0.015,0,0,0
162,0.016,0.016,0.016,0,0,0
172,0.017,0.017,0.017,0,0,0
181,0.018,0.018,0.018,0,0,0
191,0.019,0.019,0.019,0,0,0
198,0.02,0.02,0.02,0,0,0
207,0.021,0.021,0.021,0,0,0
217,0.022,0.022,0.022,0,0,0
229,0.023,0.023,0.023,0,0,0
239,0.024,0.024,0.024,0,0,0
247,0.025,0.025,0.025,0,0,0
262,0.026,0.026,0.026,0,0,0
267,0.027,0.027,0.027,0,0,0
282,0.028,0.028,0.028,0,0,0
288,0.029,0.029,0.029,0,0,0
297,0.03,0.03,0.03,0,0,0
310,0.031,0.031,0.031,0,0,0
319,0.032,0.032,0.032,0,0,0
328,0.033,0.033,0.033,0,0,0
339,0.034,0.034,0.034,0,0,0
347,0.035,0.035,0.035,0,0,0
360,0.036,0.036,0.036,0,0,0
371,0.037,0.037,0.037,0,0,0
381,0.038,0.038,0.038,0,0,0
390,0.039,0.039,0.039,0,0,0
402,0.04,0.04,0.04,0,0,0
408,0.041,0.041,0.041,0,0,0
419,0.042,0.042,0.042,0,0,0
430,0.043,0.043,0.043,0,0,0
439,0.044,0.044,0.044,0,0,0
451,0.045,0.045,0.045,0,0,0
463,0.046,0.046,0.046,0,0,0
467,0.047,0.047,0.047,0,0,0
483,0.048,0.048,0.048,0,0,0
491,0.049,0.049,0.049,0,0,0
498,0.05,0.05,0.05,0,0,0
507,0.051,0.051,0.051,0,0,0
518,0.052,0.052,0.052,0,0,0
528,0.053,0.053,0.053,0,0,0
540,0.054,0.054,0.054,0,0,0
550,0.055,0.055,0.055,0,0,0
562,0.056,0.056,0.056,0,0,0
571,0.057,0.057,0.057,0,0,0
580,0.058,0.058,0.058,0,0,0
587,0.059,0.059,0.059,0,0,0
602,0.06,0.06,0.06,0,0,0
610,0.061,0.061,0.061,0,0,0
620,0.062,0.062,0.062,0,0,0
627,0.063,0.063,0.063,0,0,0
638,0.064,0.064,0.064,0,0,0
649,0.065,0.065,0.065,0,0,0
660,0.066,0.066,0.066,0,0,0
670,0.067,0.067,0.067,0,0,0
680,0.068,0.068,0.068,0,0,0
688,0.069,0.069,0.069,0,0,0
700,0.07,0.07,0.07,0,0,0
711,0.071,0.071,0.071,0,0,0
722,0.072,0.072,0.072,0,0,0
732,0.073,0.073,0.073,0,0,0
738,0.074,0.074,0.074,0,0,0
747,0.075,0.075,0.075,0,0,0
763,0.076,0.076,0.076,0,0,0
770,0.077,0.077,0.077,0,0,0
780,0.078,0.078,0.078,0,0,0
793,0.079,0.079,0.079,0,0,0
800,0.08,0.08,0.08,0,0,0
807,0.081,0.081,0.081,0,0,0
823,0.082,0.082,0.082,0,0,0
831,0.083,0.083,0.083,0,0,0
839,0.084,0.084,0.084,0,0,0
852,0.085,0.085,0.085,0,0,0
860,0.086,0.086,0.086,0,0,0
868,0.087,0.087,0.087,0,0,0
880,0.088,0.088,0.088,0,0,0
893,0.089,0.089,0.089,0,0,0
898,0.09,0.09,0.09,0,0,0
908,0.091,0.091,0.091,0,0,0
923,0.092,0.092,0.092,0,0,0
927,0.093,0.093,0.093,0,0,0
941,0.094,0.094,0.094,0,0,0
948,0.095,0.095,0.095,0,0,0
962,0.096,0.096,0.096,0,0,0
969,0.097,0.097,0.097,0,0,0
978,0.098,0.098,0.098,0,0,0
988,0.099,0.099,0.099,0,0,0
1003,0.099,0.099,0.099,0,0,0
1007,0.099,0.099,0.099,0.0174533,0.0174533,0.0174533
1023,0.099,0.099,0.099,0.0349066,0.0349066,0.0349066
1031,0.099,0.099,0.099,0.0523599,0.0523599,0.0523599
1039,0.099,0.099,0.099,0.0698132,0.0698132,0.0698132
1050,0.099,0.099,0.099,0.0872665,0.0872665,0.0872665
1058,0.099,0.099,0.099,0.10472,0.10472,0.10472
1069,0.099,0.099,0.099,0.122173,0.122173,0.122173
1080,0.099,0.099,0.099,0.139626,0.139626,0.139626
1088,0.099,0.099,0.099,0.15708,0.15708,0.15708
1098,0.099,0.099,0.099,0.174533,0.174533,0.174533
1110,0.099,0.099,0.099,0.191986,0.191986,0.191986
1119,0.099,0.099,0.099,0.20944,0.20944,0.20944
1130,0.099,0.099,0.099,0.226893,0.226893,0.226893
1140,0.099,0.099,0.099,0.244346,0.244346,0.244346
1147,0.099,0.099,0.099,0.261799,0.261799,0.261799
1159,0.099,0.099,0.099,0.279253,0.279253,0.279253
1167,0.099,0.099,0.099,0.296706,0.296706,0.296706
1180,0.099,0.099,0.099,0.314159,0.314159,0.314159
1191,0.099,0.099,0.099,0.331613,0.331613,0.331613
1200,0.099,0.099,0.099,0.349066,0.349066,0.349066
1207,0.099,0.099,0.099,0.366519,0.366519,0.366519
1220,0.099,0.099,0.099,0.383972,0.383972,0.383972
1230,0.099,0.099,0.099,0.401426,0.401426,0.401426
1238,0.099,0.099,0.099,0.418879,0.418879,0.418879
1248,0.099,0.099,0.099,0.436332,0.436332,0.436332
1257,0.099,0.099,0.099,0.453786,0.453786,0.453786
1270,0.099,0.099,0.099,0.471239,0.471239,0.471239
1282,0.099,0.099,0.099,0.488692,0.488692,0.488692
1290,0.099,0.099,0.099,0.506145,0.506145,0.506145
1297,0.099,0.099,0.099,0.523599,0.523599,0.523599
1308,0.099,0.099,0.099,0.541052,0.541052,0.541052
1321,0.099,0.099,0.099,0.558505,0.558505,0.558505
1330,0.099,0.099,0.099,0.575959,0.575959,0.575959
1339,0.099,0.099,0.099,0.593412,0.593412,0.593412
1347,0.099,0.099,0.099,0.610865,0.610865,0.610865
1359,0.099,0.099,0.099,0.628319,0.628319,0.628319
1370,0.099,0.099,0.099,0.645772,0.645772,0.645772
1381,0.099,0.099,0.099,0.663225,0.663225,0.663225
1392,0.099,0.099,0.099,0.680678,0.680678,0.680678
1397,0.099,0.099,0.099,0.698132,0.698132,0.698132
1413,0.099,0.099,0.099,0.715585,0.715585,0.715585
1421,0.099,0.099,0.099,0.733038,0.733038,0.733038
1429,0.099,0.099,0.099,0.750492,0.750492,0.750492
1442,0.099,0.099,0.099,0.767945,0.767945,0.767945
1448,0.099,0.099,0.099,0.785398,0.785398,0.785398
1459,0.099,0.099,0.099,0.802851,0.802851,0.802851
1467,0.099,0.099,0.099,0.820305,0.820305,0.820305
1479,0.099,0.099,0.099,0.837758,0.837758,0.837758
1493,0.099,0.099,0.099,0.855211,0.855211,0.855211
1498,0.099,0.099,0.099,0.872665,0.872665,0.872665
1512,0.099,0.099,0.099,0.890118,0.890118,0.890118
1520,0.099,0.099,0.099,0.907571,0.907571,0.907571
1527,0.099,0.099,0.099,0.925025,0.925025,0.925025
1541,0.099,0.099,0.099,0.942478,0.942478,0.942478
1547,0.099,0.099,0.099,0.959931,0.959931,0.959931
1560,0.099,0.099,0.099,0.977384,0.977384,0.977384
1568,0.099,0.099,0.099,0.994838,0.994838,0.994838
1580,0.099,0.099,0.099,1.01229,1.01229,1.01229
1590,0.099,0.099,0.099,1.02974,1.02974,1.02974
1601,0.099,0.099,0.099,1.0472,1.0472,1.0472
1610,0.099,0.099,0.099,1.06465,1.06465,1.06465
1617,0.099,0.099,0.099,1.0821,1.0821,1.0821
1632,0.099,0.099,0.099,1.09956,1.09956,1.09956
1637,0.099,0.099,0.099,1.11701,1.11701,1.11701
1649,0.099,0.099,0.099,1.13446,1.13446,1.13446
1663,0.099,0.099,0.099,1.15192,1.15192,1.15192
1672,0.099,0.099,0.099,1.16937,1.16937,1.16937
1683,0.099,0.099,0.099,1.18682,1.18682,1.18682
1687,0.099,0.099,0.099,1.20428,1.20428,1.20428
1700,0.099,0.099,0.099,1.22173,1.22173,1.22173
1710,0.099,0.099,0.099,1.23918,1.23918,1.23918
1719,0.099,0.099,0.099,1.25664,1.25664,1.25664
1728,0.099,0.099,0.099,1.27409,1.27409,1.27409
1742,0.099,0.099,0.099,1.29154,1.29154,1.29154
1748,0.099,0.099,0.099,1.309,1.309,1.309
1762,0.099,0.099,0.099,1.32645,1.32645,1.32645
1770,0.099,0.099,0.099,1.3439,1.3439,1.3439
1778,0.099,0.099,0.099,1.36136,1.36136,1.36136
1788,0.099,0.099,0.099,1.37881,1.37881,1.37881
1803,0.099,0.099,0.099,1.39626,1.39626,1.39626
1813,0.099,0.099,0.099,1.41372,1.41372,1.41372
1820,0.099,0.099,0.099,1.43117,1.43117,1.43117
1829,0.099,0.099,0.099,1.44862,1.44862,1.44862
1843,0.099,0.099,0.099,1.46608,1.46608,1.46608
1850,0.099,0.099,0.099,1.48353,1.48353,1.48353
1860,0.099,0.099,0.099,1.50098,1.50098,1.50098
1870,0.099,0.099,0.099,1.51844,1.51844,1.51844
1881,0.099,0.099,0.099,1.53589,1.53589,1.53589
1893,0.099,0.099,0.099,1.55334,1.55334,1.55334
1899,0.099,0.099,0.099,1.5708,1.5708,1.5708
1910,0.099,0.099,0.099,1.58825,1.58825,1.58825
1923,0.099,0.099,0.099,1.6057,1.6057,1.6057
1930,0.099,0.099,0.099,1.62316,1.62316,1.62316
1941,0.099,0.099,0.099,1.64061,1.64061,1.64061
1949,0.099,0.099,0.099,1.65806,1.65806,1.65806
1962,0.099,0.099,0.099,1.67552,1.67552,1.67552
1971,0.099,0.099,0.099,1.69297,1.69297,1.69297
1977,0.099,0.099,0.099,1.71042,1.71042,1.71042
1987,0.099,0.099,0.099,1.72788,1.72788,1.72788
2001,0.099,0.099,0.099,1.74533,1.74533,1.74533
2007,0.099,0.099,0.099,1.76278,1.76278,1.76278
2020,0.099,0.099,0.099,1.78024,1.78024,1.78024
2027,0.099,0.099,0.099,1.79769,1.79769,1.79769
2041,0.099,0.099,0.099,1.81514,1.81514,1.81514
2051,0.099,0.099,0.099,1.8326,1.8326,1.8326
2060,0.099,0.099,0.099,1.85005,1.85005,1.85005
2070,0.099,0.099,0.099,1.8675,1.8675,1.8675
2079,0.099,0.099,0.099,1.88496,1.88496,1.88496
